Longitude,Latitude,nestbox_ID2,year,initialeggs,NHatched,NFledged,fledge_fail,comment,psi,Forest,PLAN_NO,GridID,FID,layer,path,polygon_id,polygonID
-2.3560007,55.30887,cottonshape pines _2006,2006,3,3,3,2,fledged ,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3560007,55.30887,cottonshape pines _2008,2008,3,2,2,2,,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3560007,55.30887,cottonshape pines _2009,2009,2,0,0,1,; 2 eggs desert both eggs buried,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3560007,55.30887,cottonshope pines 2_2017,2017,1,3,3,2,fledged,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3560007,55.30887,cottonshope pines 2_2020,2020,1,4,4,2,fledged,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3560007,55.30887,cottonshope pines_2011,2011,2,0,0,1,; failed,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3560007,55.30887,cottonshopefoot_1998,1998,3,3,3,2,,NA,Redesdale,NT7701,4428,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.4293971,55.322023,counteer wood _2007,2007,2,2,2,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _1997,1997,4,4,4,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _1998,1998,1,4,4,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2002,2002,3,3,3,2,"1 st, vole ",NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2005,2005,2,2,2,2,fledged ,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2008,2008,3,3,3,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2010,2010,5,2,2,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2016,2016,3,2,2,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2018,2018,2,2,2,2,sitting tight ,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess plantation _2021,2021,1,1,0,1,sitting tight ; failed ,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.4293971,55.322023,countess wood_2000,2000,3,3,3,2,,NA,Redesdale,NT7203,4505,NA,NA,NA,NA,NA
-2.3593297,55.154303,dally castle _1997,1997,4,4,4,2,,NA,Redesdale,NY7784,3731,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3593297,55.154303,dally castle _2003,2003,2,2,2,2,,NA,Redesdale,NY7784,3731,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3593297,55.154303,dally castle _2006,2006,2,2,2,2,,NA,Redesdale,NY7784,3731,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3593297,55.154303,dally castle _2007,2007,1,1,1,2,,NA,Redesdale,NY7784,3731,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3265512,55.290891,deadwood _1993,1993,4,3,3,2,,NA,Redesdale,NY7999,4348,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.3265512,55.290891,deadwood natural_1998,1998,4,4,4,2,,NA,Redesdale,NY7999,4348,1,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,6,6
-2.2606611,55.136043,eals burn _2005,2005,2,2,2,2,one on box roof one at enterence ; sitting tight ,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
